Messstelle:                ;Au (Mittlere Au)
HZB-Nummer:                ;206292
HD-Nummer:                 ;6260
DBMS-Nummer:               ;4001171
Gewässer:                  ;Laudach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;72,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1979              ;00367,00
   24.11.1988              ;00367,71
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1978              ;493445,00 - 322375,00
   26.03.2020              ;493451,00 - 322391,00
   27.03.2020              ;493446,85 - 322393,79
   28.03.2020              ;493446,70 - 322393,45
Exportzeitreihe:           ;(4001171,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1979 00:00,01.01.2022 00:00]
Werte:
19.01.1979 00:01:00;   121
02.02.1979 08:00:00;   122
01.03.1979 00:00:00;   122
26.04.1979 08:00:00;   133
31.05.1979 23:59:55;   126
09.06.1979 11:00:00;   123
27.07.1979 16:00:00;   138
22.08.1979 20:00:00;   133
18.09.1979 07:00:00;   131
31.10.1979 00:00:00;   129
01.11.1979 12:00:00;   129
29.12.1979 17:00:00;   130
04.01.1980 00:00:05;   129
21.02.1980 17:00:00;   132
05.03.1980 07:00:00;   131
01.04.1980 03:00:00;   137
28.05.1980 16:00:00;   134
15.06.1980 17:00:00;   132
20.07.1980 22:00:00;   133
30.08.1980 14:00:00;   126
23.09.1980 10:00:00;   139
25.10.1980 03:00:00;   135
26.11.1980 20:00:00;   132
01.12.1980 00:00:05;   138
13.01.1981 14:00:00;   139
27.02.1981 12:00:00;   136
05.03.1981 16:00:00;   139
30.04.1981 18:00:00;   133
21.05.1981 16:00:00;   133
05.06.1981 06:00:00;   131
10.07.1981 20:00:00;   130
20.08.1981 20:00:00;   127
09.09.1981 10:00:00;   130
09.10.1981 14:00:00;   131
05.11.1981 16:00:00;   139
29.12.1981 14:00:00;   140
24.01.1982 00:01:00;   138
20.02.1982 10:00:00;   135
01.03.1982 00:00:00;   137
26.04.1982 20:00:00;   134
31.05.1982 23:59:55;   132
11.06.1982 07:00:00;   123
18.07.1982 01:00:00;   126
31.08.1982 20:00:00;   128
22.09.1982 21:00:00;   124
28.10.1982 07:00:00;   128
04.11.1982 16:00:00;   127
17.12.1982 07:00:00;   125
03.01.1983 09:00:00;   133
23.02.1983 00:01:00;   130
18.03.1983 19:00:00;   134
02.04.1983 15:00:00;   135
31.05.1983 16:00:00;   129
02.06.1983 22:00:00;   128
31.07.1983 17:00:00;   127
29.08.1983 02:00:00;   126
13.09.1983 19:00:00;   126
31.10.1983 23:59:55;   126
07.11.1983 03:00:00;   125
15.12.1983 00:01:00;   132
12.01.1984 00:01:00;   128
02.02.1984 11:45:00;   129
11.03.1984 10:00:00;   130
30.04.1984 20:00:00;   135
28.05.1984 00:00:00;   132
20.06.1984 16:00:00;   126
12.07.1984 14:15:00;   128
05.08.1984 11:45:00;   129
10.09.1984 16:30:00;   134
25.10.1984 09:00:00;   132
19.11.1984 20:45:00;   129
05.12.1984 20:45:00;   130
06.01.1985 00:01:00;   130
20.02.1985 00:01:00;   140
20.03.1985 17:45:00;   139
22.04.1985 16:45:00;   137
20.05.1985 16:45:00;   136
06.06.1985 23:45:00;   134
29.07.1985 19:30:00;   133
23.08.1985 01:30:00;   131
23.09.1985 17:00:00;   134
07.10.1985 17:15:00;   132
05.11.1985 20:00:00;   131
10.12.1985 09:45:00;   137
09.01.1986 03:00:00;   135
21.02.1986 17:00:00;   133
04.03.1986 00:00:05;   132
28.04.1986 18:15:00;   136
14.05.1986 16:45:00;   132
30.06.1986 20:30:00;   131
17.07.1986 19:45:00;   127
11.08.1986 11:45:00;   131
30.09.1986 07:15:00;   130
14.10.1986 18:30:00;   129
17.11.1986 19:30:00;   131
11.12.1986 17:45:00;   128
29.01.1987 19:45:00;   135
02.02.1987 00:01:00;   134
17.03.1987 17:15:00;   138
30.04.1987 23:59:55;   140
02.05.1987 22:45:00;   138
15.06.1987 20:30:00;   137
18.07.1987 19:15:00;   136
24.08.1987 19:15:00;   135
21.09.1987 12:15:00;   111
13.10.1987 22:45:00;   109
