Messstelle:                ;Greimpersdorf
HZB-Nummer:                ;207688
HD-Nummer:                 ;no060
DBMS-Nummer:               ;3001008
Gewässer:                  ;Ybbs
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1116,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00261,00
   01.01.1977              ;00261,73
   01.01.2011              ;00261,89
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1963              ;642756,40 - 331328,00
Exportzeitreihe:           ;(3001008,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
01.01.1976 05:30:00;    81
10.02.1976 13:00:00;    84
21.03.1976 16:00:00;    81
24.04.1976 19:30:00;    84
21.05.1976 17:30:00;    93
30.06.1976 10:30:00;    78
09.07.1976 05:00:00;    72
17.08.1976 03:30:00;    86
15.09.1976 15:30:00;    84
15.10.1976 13:00:00;    77
07.11.1976 20:00:00;    75
31.12.1976 17:30:00;    72
03.01.1977 14:00:00;    75
04.02.1977 14:00:00;    97
31.03.1977 21:30:00;   116
08.04.1977 00:30:00;   110
27.05.1977 10:00:00;    90
18.06.1977 15:00:00;    83
25.07.1977 16:00:00;    81
31.08.1977 16:30:00;    85
17.09.1977 14:00:00;    78
22.10.1977 16:30:00;    69
30.11.1977 22:30:00;    74
06.12.1977 22:00:00;    77
11.01.1978 15:30:00;    88
10.02.1978 22:30:00;    75
09.03.1978 12:30:00;    92
07.04.1978 14:00:00;    98
26.05.1978 13:00:00;    88
18.06.1978 14:00:00;    75
15.07.1978 14:00:00;    73
05.08.1978 14:00:00;    67
02.09.1978 14:00:00;    68
19.10.1978 17:00:00;    75
22.11.1978 21:30:00;    71
08.12.1978 14:30:00;    63
06.01.1979 16:00:00;    69
01.02.1979 16:30:00;    75
03.03.1979 16:00:00;    85
21.04.1979 07:30:00;   109
26.05.1979 15:00:00;   105
11.06.1979 09:00:00;    89
26.07.1979 19:00:00;    89
24.08.1979 14:00:00;    87
17.09.1979 01:00:00;    79
17.10.1979 17:30:00;    75
02.11.1979 08:30:00;    81
31.12.1979 23:59:55;    94
22.01.1980 14:00:00;    81
29.02.1980 14:00:00;    90
01.03.1980 23:30:00;    90
05.04.1980 14:30:00;   120
24.05.1980 07:00:00;   109
20.06.1980 08:00:00;    97
12.07.1980 11:30:00;    94
16.08.1980 21:30:00;    76
25.09.1980 07:30:00;    71
08.10.1980 02:00:00;    79
13.11.1980 17:30:00;    82
03.12.1980 05:30:00;    89
30.01.1981 14:00:00;    87
27.02.1981 13:00:00;    90
06.03.1981 07:00:00;    90
25.04.1981 11:00:00;    86
31.05.1981 00:30:00;    91
16.06.1981 13:30:00;    84
09.07.1981 17:30:00;    81
23.08.1981 06:00:00;    68
12.09.1981 22:00:00;    88
10.10.1981 10:00:00;    92
06.11.1981 17:00:00;   105
28.12.1981 06:30:00;    99
28.01.1982 13:00:00;    95
28.02.1982 11:30:00;    95
01.03.1982 00:30:00;    96
17.04.1982 12:00:00;    92
01.05.1982 10:30:00;   107
26.06.1982 17:00:00;    91
17.07.1982 05:30:00;    84
28.08.1982 06:00:00;    85
15.09.1982 05:30:00;    75
28.10.1982 13:00:00;    79
26.11.1982 15:30:00;    76
06.12.1982 23:00:00;    77
03.01.1983 10:30:00;    92
23.02.1983 21:00:00;    85
07.03.1983 12:30:00;    99
09.04.1983 10:00:00;    96
28.05.1983 13:30:00;    86
25.06.1983 07:00:00;    68
16.07.1983 07:00:00;    67
31.08.1983 13:30:00;    65
10.09.1983 22:30:00;    73
07.10.1983 23:30:00;    71
24.11.1983 23:00:00;    68
15.12.1983 05:30:00;    70
13.01.1984 04:00:00;    81
03.02.1984 10:00:00;    80
12.03.1984 15:00:00;    88
07.04.1984 08:00:00;   101
01.05.1984 05:30:00;    98
29.06.1984 14:00:00;    71
23.07.1984 14:30:00;    75
24.08.1984 15:00:00;    85
05.09.1984 22:00:00;    83
31.10.1984 05:30:00;    80
21.11.1984 05:30:00;    73
03.12.1984 05:30:00;    76
08.01.1985 00:45:00;    70
19.02.1985 19:45:00;    81
20.03.1985 21:15:00;    95
20.04.1985 09:45:00;    92
31.05.1985 05:30:00;    89
07.06.1985 05:15:00;    88
19.07.1985 08:15:00;    75
25.08.1985 06:45:00;    94
25.09.1985 13:15:00;    88
30.10.1985 01:00:00;    75
06.11.1985 14:45:00;    79
01.12.1985 00:45:00;    86
08.01.1986 17:30:00;    87
28.02.1986 01:30:00;    80
05.03.1986 09:00:00;    84
19.04.1986 03:45:00;    96
28.05.1986 13:15:00;    86
30.06.1986 14:45:00;    71
05.07.1986 22:00:00;    70
09.08.1986 22:45:00;    72
26.09.1986 20:45:00;    68
16.10.1986 20:30:00;    65
21.11.1986 13:45:00;    74
06.12.1986 08:45:00;    66
31.01.1987 14:15:00;    77
01.02.1987 00:00:00;    80
14.03.1987 10:45:00;    94
03.04.1987 14:30:00;   117
30.05.1987 06:30:00;   112
20.06.1987 10:00:00;   105
20.07.1987 05:45:00;    87
31.08.1987 10:15:00;    88
16.09.1987 03:00:00;    78
07.10.1987 06:00:00;    76
02.11.1987 07:15:00;    81
15.12.1987 23:45:00;    84
09.01.1988 09:15:00;    79
20.02.1988 08:30:00;    84
05.03.1988 13:15:00;    84
27.04.1988 05:00:00;   126
24.05.1988 15:15:00;   100
25.06.1988 06:45:00;    66
09.07.1988 13:00:00;    66
20.08.1988 07:45:00;    68
29.09.1988 13:45:00;    76
15.10.1988 07:15:00;    69
05.11.1988 07:15:00;    79
17.12.1988 10:00:00;   111
26.01.1989 14:30:00;    96
04.02.1989 13:45:00;    92
03.03.1989 10:00:00;   103
25.04.1989 10:30:00;   101
29.05.1989 07:45:00;    98
05.06.1989 13:30:00;    94
23.07.1989 14:15:00;    86
22.08.1989 12:45:00;    84
24.09.1989 06:15:00;    85
21.10.1989 20:15:00;    85
