Messstelle:                ;Krenstetten
HZB-Nummer:                ;207696
HD-Nummer:                 ;no055
DBMS-Nummer:               ;3001009
Gewässer:                  ;Urlbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;155,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1978              ;00304,36
   04.11.2004              ;00304,25
   01.01.2007              ;00304,27
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1978              ;628480,90 - 325663,10
Exportzeitreihe:           ;(3001009,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1978 00:15,01.01.2022 00:00]
Werte:
07.01.1978 16:30:00;   103
15.02.1978 20:15:00;   106
12.03.1978 18:15:00;   113
10.04.1978 18:30:00;   105
23.05.1978 20:30:00;   101
30.06.1978 00:00:00;    99
01.07.1978 01:00:00;    99
24.08.1978 00:30:00;    97
22.09.1978 03:30:00;    97
22.10.1978 19:30:00;    99
25.11.1978 02:30:00;    96
04.12.1978 23:30:00;    98
02.01.1979 10:30:00;   112
27.02.1979 11:15:00;   107
25.03.1979 17:45:00;   104
16.04.1979 15:45:00;   113
31.05.1979 17:45:00;   100
03.06.1979 20:15:00;    92
02.07.1979 19:30:00;    98
31.08.1979 20:30:00;   100
21.09.1979 22:30:00;    99
31.10.1979 00:15:00;    94
02.11.1979 17:45:00;    96
31.12.1979 15:30:00;   104
24.01.1980 19:15:00;   103
26.02.1980 21:45:00;   106
26.03.1980 19:00:00;   104
18.04.1980 16:15:00;   113
27.05.1980 18:15:00;   104
19.06.1980 20:15:00;   103
30.07.1980 21:00:00;   101
01.08.1980 20:45:00;   100
19.09.1980 22:30:00;   100
04.10.1980 00:00:00;   100
14.11.1980 20:00:00;   102
29.12.1980 17:15:00;   112
08.01.1981 16:30:00;   108
02.02.1981 20:00:00;   106
23.03.1981 21:15:00;   104
25.04.1981 15:00:00;    98
26.05.1981 22:15:00;    98
30.06.1981 18:30:00;    97
03.07.1981 19:00:00;    96
22.08.1981 14:00:00;    97
08.09.1981 16:30:00;    98
08.10.1981 21:15:00;   100
08.11.1981 19:45:00;   110
28.12.1981 11:15:00;   114
26.01.1982 18:45:00;   108
24.02.1982 22:30:00;   101
07.03.1982 18:30:00;   108
26.04.1982 18:45:00;   102
18.05.1982 00:30:00;   100
20.06.1982 18:45:00;    98
15.07.1982 22:00:00;    99
24.08.1982 17:00:00;    98
23.09.1982 00:00:00;    93
12.10.1982 00:00:00;    94
09.11.1982 23:15:00;    93
03.12.1982 22:30:00;    96
22.01.1983 16:15:00;   103
11.02.1983 17:15:00;   102
13.03.1983 17:30:00;   101
30.04.1983 20:30:00;   102
24.05.1983 23:00:00;    99
09.06.1983 11:30:00;    93
29.07.1983 01:30:00;    93
27.08.1983 21:45:00;    91
20.09.1983 21:30:00;    90
01.10.1983 00:00:00;    91
24.11.1983 01:00:00;    90
13.12.1983 21:15:00;    90
01.01.1984 19:00:00;    98
24.02.1984 20:00:00;   100
23.03.1984 19:00:00;   104
29.04.1984 17:15:00;   102
27.05.1984 19:30:00;   100
27.06.1984 21:30:00;    92
12.07.1984 00:00:00;    92
30.08.1984 21:00:00;    94
10.09.1984 22:30:00;    93
25.10.1984 22:45:00;    94
21.11.1984 00:15:00;    93
06.12.1984 00:30:00;    94
15.01.1985 22:30:00;    96
22.02.1985 19:45:00;   102
21.03.1985 10:15:00;   116
07.04.1985 12:00:00;   105
29.05.1985 23:00:00;   100
06.06.1985 00:45:00;    98
16.07.1985 20:30:00;    98
01.08.1985 20:15:00;   106
21.09.1985 17:30:00;   103
20.10.1985 19:15:00;   100
12.11.1985 19:30:00;   102
08.12.1985 18:00:00;   107
10.01.1986 18:45:00;   107
24.02.1986 23:45:00;   104
04.03.1986 20:45:00;   106
30.04.1986 17:15:00;   105
26.05.1986 18:45:00;   101
27.06.1986 17:15:00;    98
04.07.1986 22:00:00;    94
11.08.1986 19:45:00;    95
26.09.1986 20:30:00;    94
15.10.1986 04:00:00;    91
22.11.1986 23:15:00;    93
10.12.1986 23:45:00;    94
25.01.1987 17:15:00;   105
02.02.1987 20:15:00;   107
17.03.1987 20:15:00;   110
12.04.1987 17:15:00;   110
10.05.1987 16:00:00;   105
08.06.1987 11:30:00;   107
07.07.1987 19:30:00;   103
19.08.1987 11:30:00;   103
03.09.1987 19:45:00;   101
14.10.1987 20:00:00;    99
10.11.1987 19:30:00;   103
06.12.1987 18:15:00;   104
17.01.1988 11:30:00;   100
11.02.1988 06:30:00;   109
03.03.1988 08:00:00;   108
30.04.1988 01:45:00;   108
12.05.1988 23:30:00;   102
25.06.1988 20:30:00;    98
05.07.1988 21:45:00;    98
23.08.1988 21:15:00;    93
28.09.1988 02:30:00;   104
07.10.1988 23:15:00;    98
11.11.1988 00:00:00;   105
22.12.1988 17:15:00;   128
28.01.1989 13:15:00;   113
11.02.1989 11:00:00;   106
31.03.1989 19:30:00;   110
14.04.1989 05:15:00;   112
28.05.1989 19:45:00;   111
16.06.1989 21:15:00;   108
25.07.1989 21:00:00;   109
08.08.1989 17:15:00;   113
13.09.1989 19:15:00;   111
28.10.1989 21:15:00;   109
26.11.1989 11:45:00;   109
07.12.1989 03:45:00;   109
10.01.1990 12:45:00;   107
10.02.1990 12:30:00;   108
20.03.1990 22:00:00;   110
05.04.1990 23:15:00;   113
29.05.1990 00:00:00;   107
28.06.1990 18:45:00;   103
23.07.1990 20:15:00;   101
04.08.1990 19:15:00;    96
03.09.1990 20:45:00;    98
24.10.1990 19:30:00;    99
10.11.1990 20:45:00;   106
16.12.1990 00:15:00;   109
31.01.1991 20:30:00;   103
18.02.1991 19:45:00;   102
26.03.1991 00:45:00;   104
08.04.1991 01:30:00;   104
01.05.1991 19:45:00;   108
24.06.1991 18:00:00;   109
01.07.1991 12:45:00;   109
22.08.1991 19:15:00;   114
30.09.1991 20:30:00;   101
07.10.1991 20:00:00;    99
01.11.1991 02:00:00;   102
09.12.1991 19:00:00;   105
26.01.1992 14:00:00;   114
03.02.1992 09:00:00;   114
13.03.1992 01:30:00;   123
22.04.1992 09:45:00;   112
25.05.1992 22:30:00;   111
01.06.1992 20:30:00;   108
31.07.1992 21:00:00;   106
28.08.1992 19:30:00;   102
03.09.1992 19:30:00;   103
08.10.1992 00:45:00;   103
04.11.1992 01:00:00;   112
29.12.1992 11:45:00;   114
01.01.1993 10:15:00;   112
28.02.1993 15:00:00;   117
08.03.1993 19:30:00;   114
29.04.1993 22:00:00;   116
30.05.1993 00:30:00;   105
02.06.1993 23:00:00;   105
05.07.1993 22:00:00;   107
17.08.1993 16:15:00;   108
26.09.1993 03:30:00;   110
05.10.1993 19:45:00;   109
09.11.1993 22:15:00;   109
02.12.1993 00:15:00;   120
21.01.1994 10:45:00;   124
14.02.1994 08:45:00;   126
01.03.1994 16:30:00;   125
08.04.1994 17:45:00;   122
17.05.1994 09:30:00;   120
30.06.1994 22:00:00;   114
28.07.1994 05:30:00;   107
03.08.1994 19:15:00;   109
01.09.1994 22:30:00;   108
26.10.1994 09:30:00;   105
07.11.1994 13:45:00;   110
08.12.1994 13:45:00;   115
05.01.1995 07:15:00;   121
13.02.1995 12:15:00;   123
16.03.1995 14:45:00;   124
27.04.1995 19:30:00;   126
