Messstelle:                ;Haxenmühle
HZB-Nummer:                ;209445
HD-Nummer:                 ;no220
DBMS-Nummer:               ;3001160
Gewässer:                  ;Halbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;91,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1981              ;00396,08
   01.01.2014              ;00396,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1981              ;704691,00 - 322090,00
Exportzeitreihe:           ;(3001160,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:30,01.01.2022 00:00]
Werte:
29.01.1981 08:30:00;   139
01.02.1981 00:00:00;   140
06.03.1981 10:00:00;   140
30.04.1981 10:00:00;   138
21.05.1981 10:30:00;   137
22.06.1981 17:30:00;   134
17.07.1981 12:30:00;   133
24.08.1981 12:00:00;   133
11.09.1981 14:00:00;   135
30.10.1981 19:30:00;   138
02.11.1981 08:30:00;   137
28.12.1981 15:30:00;   143
28.01.1982 11:00:00;   144
26.02.1982 12:00:00;   146
14.03.1982 06:00:00;   146
16.04.1982 09:00:00;   146
28.05.1982 14:30:00;   145
24.06.1982 09:30:00;   140
20.07.1982 17:30:00;   135
03.08.1982 18:00:00;   135
27.09.1982 17:30:00;   132
01.10.1982 13:00:00;   133
24.11.1982 16:00:00;   132
10.12.1982 13:30:00;   132
03.01.1983 13:00:00;   138
23.02.1983 08:00:00;   135
31.03.1983 19:30:00;   143
14.04.1983 12:00:00;   141
07.05.1983 18:00:00;   144
09.06.1983 16:30:00;   146
27.07.1983 18:30:00;   144
31.08.1983 18:00:00;   144
29.09.1983 11:30:00;   142
04.10.1983 22:00:00;   143
23.11.1983 21:00:00;   139
15.12.1983 09:00:00;   138
12.01.1984 08:30:00;   137
01.02.1984 13:30:00;   136
06.03.1984 10:30:00;   141
30.04.1984 14:30:00;   150
31.05.1984 15:30:00;   146
27.06.1984 09:00:00;   138
03.07.1984 17:30:00;   137
31.08.1984 09:00:00;   137
03.09.1984 08:30:00;   136
29.10.1984 14:00:00;   135
14.11.1984 15:30:00;   132
12.12.1984 14:00:00;   133
17.01.1985 15:45:00;   131
20.02.1985 17:15:00;   138
03.03.1985 18:30:00;   143
30.04.1985 13:15:00;   153
29.05.1985 09:30:00;   147
05.06.1985 12:15:00;   149
19.07.1985 16:00:00;   140
04.08.1985 16:45:00;   140
30.09.1985 20:00:00;   142
28.10.1985 13:30:00;   136
20.11.1985 12:45:00;   135
13.12.1985 11:30:00;   140
08.01.1986 17:30:00;   142
28.02.1986 04:45:00;   135
05.03.1986 15:15:00;   140
28.04.1986 12:30:00;   149
28.05.1986 17:00:00;   141
03.06.1986 16:00:00;   141
25.07.1986 12:00:00;   139
20.08.1986 17:15:00;   135
23.09.1986 09:15:00;   134
15.10.1986 11:30:00;   130
21.11.1986 16:00:00;   133
16.12.1986 16:30:00;   134
31.01.1987 10:15:00;   137
05.02.1987 07:45:00;   137
22.03.1987 11:45:00;   148
03.04.1987 04:30:00;   162
04.05.1987 17:30:00;   161
21.06.1987 03:15:00;   154
23.07.1987 16:45:00;   145
27.08.1987 08:15:00;   140
23.09.1987 15:00:00;   138
16.10.1987 17:30:00;   135
17.11.1987 12:00:00;   135
01.12.1987 12:45:00;   137
25.01.1988 16:00:00;   138
11.02.1988 12:15:00;   138
05.03.1988 11:15:00;   137
29.04.1988 11:30:00;   158
24.05.1988 03:00:00;   146
30.06.1988 17:30:00;   146
22.07.1988 19:00:00;   138
14.08.1988 15:30:00;   135
