Messstelle:                ;Urlaken
HZB-Nummer:                ;212597
HD-Nummer:                 ;00322
DBMS-Nummer:               ;2001025
Gewässer:                  ;Seebach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;160,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00499,00
   01.01.1979              ;00499,74
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;492078,00 - 166455,00
   01.01.1976              ;492078,00 - 166455,00
Exportzeitreihe:           ;(2001025,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
31.01.1976 23:59:55;    40
11.02.1976 08:00:00;    38
12.03.1976 10:00:00;    39
01.04.1976 00:00:00;    41
11.05.1976 10:00:00;    45
29.06.1976 10:00:00;    38
02.07.1976 08:00:00;    36
31.08.1976 10:00:00;    36
01.09.1976 00:00:00;    36
10.10.1976 10:00:00;    39
30.11.1976 10:00:00;    41
27.12.1976 10:00:00;    36
01.01.1977 00:00:00;    36
01.02.1977 00:00:00;    38
22.03.1977 10:00:00;    48
30.04.1977 23:59:55;    39
31.05.1977 23:59:55;    38
14.06.1977 10:00:00;    36
19.07.1977 12:00:00;    36
02.08.1977 10:00:00;    39
30.09.1977 23:59:55;    57
18.10.1977 10:00:00;    51
24.11.1977 10:00:00;    50
01.12.1977 00:00:00;    50
10.01.1978 10:00:00;    48
10.02.1978 10:00:00;    50
01.03.1978 00:00:00;    50
01.04.1978 00:00:00;    62
19.05.1978 10:00:00;    64
10.06.1978 08:00:00;    64
01.07.1978 00:00:00;    68
27.08.1978 10:00:00;    65
24.09.1978 10:00:00;    56
31.10.1978 23:59:55;    58
16.11.1978 12:00:00;    55
08.12.1978 10:00:00;    53
22.01.1979 10:00:00;    71
01.02.1979 02:00:00;    78
05.03.1979 10:00:00;    78
04.04.1979 10:00:00;    90
01.05.1979 02:00:00;    92
11.06.1979 08:00:00;    91
31.07.1979 10:00:00;    97
