Messstelle:                ;Vandans (VIW)
HZB-Nummer:                ;200055
HD-Nummer:                 ;
DBMS-Nummer:               ;8001005
Gewässer:                  ;Ill
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
orogr.Einzugsgebiet [km²]: ;510,88
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.10.1939              ;00626,92
   02.11.1957              ;00626,90
   01.10.1970              ;00624,83
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1939              ;114640,00 - 217708,00
Exportzeitreihe:           ;(8001005,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:15:00;   195
02.01.1976 00:00:00;   196
03.01.1976 00:00:00;   211
04.01.1976 00:00:00;   209
05.01.1976 00:00:00;   220
06.01.1976 00:00:00;   211
07.01.1976 00:00:00;   207
08.01.1976 00:00:00;   207
09.01.1976 00:00:00;   201
10.01.1976 00:00:00;   201
11.01.1976 00:00:00;   208
12.01.1976 00:00:00;   211
13.01.1976 00:00:00;   217
14.01.1976 00:00:00;   227
15.01.1976 00:00:00;   218
16.01.1976 00:00:00;   233
17.01.1976 00:00:00;   216
18.01.1976 00:00:00;   211
19.01.1976 00:00:00;   251
20.01.1976 00:00:00;   256
21.01.1976 00:00:00;   237
22.01.1976 00:00:00;   232
23.01.1976 00:00:00;   213
24.01.1976 00:00:00;   233
25.01.1976 00:00:00;   241
26.01.1976 00:00:00;   236
27.01.1976 00:00:00;   252
28.01.1976 00:00:00;   244
29.01.1976 00:00:00;   276
30.01.1976 00:00:00;   240
31.01.1976 00:00:00;   235
01.02.1976 00:00:00;   214
02.02.1976 00:00:00;   213
03.02.1976 00:00:00;   207
04.02.1976 00:00:00;   207
05.02.1976 00:00:00;   208
06.02.1976 00:00:00;   214
07.02.1976 00:00:00;   209
08.02.1976 00:00:00;   213
09.02.1976 00:00:00;   230
10.02.1976 00:00:00;   222
11.02.1976 00:00:00;   208
12.02.1976 00:00:00;   233
13.02.1976 00:00:00;   243
14.02.1976 00:00:00;   238
15.02.1976 00:00:00;   244
16.02.1976 00:00:00;   214
17.02.1976 00:00:00;   230
18.02.1976 00:00:00;   246
19.02.1976 00:00:00;   227
20.02.1976 00:00:00;   213
21.02.1976 00:00:00;   211
22.02.1976 00:00:00;   217
23.02.1976 00:00:00;   226
24.02.1976 00:00:00;   212
25.02.1976 00:00:00;   223
26.02.1976 00:00:00;   221
27.02.1976 00:00:00;   219
28.02.1976 00:00:00;   209
29.02.1976 00:00:00;   198
01.03.1976 00:00:00;   199
02.03.1976 00:00:00;   199
03.03.1976 00:00:00;   215
04.03.1976 00:00:00;   224
05.03.1976 00:00:00;   230
06.03.1976 00:00:00;   271
07.03.1976 00:00:00;   228
08.03.1976 00:00:00;   246
09.03.1976 00:00:00;   238
10.03.1976 00:00:00;   235
11.03.1976 00:00:00;   217
12.03.1976 00:00:00;   234
13.03.1976 00:00:00;   220
14.03.1976 00:00:00;   218
15.03.1976 00:00:00;   228
16.03.1976 00:00:00;   235
17.03.1976 00:00:00;   248
18.03.1976 00:00:00;   231
19.03.1976 00:00:00;   222
20.03.1976 00:00:00;   254
21.03.1976 00:00:00;   216
22.03.1976 00:00:00;   246
23.03.1976 00:00:00;   230
24.03.1976 00:00:00;   241
25.03.1976 00:00:00;   235
26.03.1976 00:00:00;   213
27.03.1976 00:00:00;   207
28.03.1976 00:00:00;   205
29.03.1976 00:00:00;   207
30.03.1976 00:00:00;   208
31.03.1976 00:00:00;   240
01.04.1976 00:00:00;   249
02.04.1976 00:00:00;   222
03.04.1976 00:00:00;   229
04.04.1976 00:00:00;   226
05.04.1976 00:00:00;   235
06.04.1976 00:00:00;   259
07.04.1976 00:00:00;   265
08.04.1976 00:00:00;   277
09.04.1976 00:00:00;   224
10.04.1976 00:00:00;   210
11.04.1976 00:00:00;   208
12.04.1976 00:00:00;   208
13.04.1976 00:00:00;   207
14.04.1976 00:00:00;   204
15.04.1976 00:00:00;   202
16.04.1976 00:00:00;   202
17.04.1976 00:00:00;   204
18.04.1976 00:00:00;   198
19.04.1976 00:00:00;   207
20.04.1976 00:00:00;   210
21.04.1976 00:00:00;   214
22.04.1976 00:00:00;   226
23.04.1976 00:00:00;   200
24.04.1976 00:00:00;   229
25.04.1976 00:00:00;   211
26.04.1976 00:00:00;   228
27.04.1976 00:00:00;   224
28.04.1976 00:00:00;   244
29.04.1976 00:00:00;   246
30.04.1976 00:00:00;   252
01.05.1976 00:00:00;   237
02.05.1976 00:00:00;   231
03.05.1976 00:00:00;   262
04.05.1976 00:00:00;   271
05.05.1976 00:00:00;   242
06.05.1976 00:00:00;   238
07.05.1976 00:00:00;   233
08.05.1976 00:00:00;   247
09.05.1976 00:00:00;   253
10.05.1976 00:00:00;   263
11.05.1976 00:00:00;   263
12.05.1976 00:00:00;   269
13.05.1976 00:00:00;   268
14.05.1976 00:00:00;   263
15.05.1976 00:00:00;   242
16.05.1976 00:00:00;   237
17.05.1976 00:00:00;   254
18.05.1976 00:00:00;   266
19.05.1976 00:00:00;   275
20.05.1976 00:00:00;   282
21.05.1976 00:00:00;   288
22.05.1976 00:00:00;   272
23.05.1976 00:00:00;   255
24.05.1976 00:00:00;   252
25.05.1976 00:00:00;   255
26.05.1976 00:00:00;   268
27.05.1976 00:00:00;   250
28.05.1976 00:00:00;   259
29.05.1976 00:00:00;   263
30.05.1976 00:00:00;   264
31.05.1976 00:00:00;   274
01.06.1976 00:00:00;   282
02.06.1976 00:00:00;   305
03.06.1976 00:00:00;   291
04.06.1976 00:00:00;   263
05.06.1976 00:00:00;   262
06.06.1976 00:00:00;   245
07.06.1976 00:00:00;   247
08.06.1976 00:00:00;   266
09.06.1976 00:00:00;   268
10.06.1976 00:00:00;   274
11.06.1976 00:00:00;   273
12.06.1976 00:00:00;   248
13.06.1976 00:00:00;   231
14.06.1976 00:00:00;   279
15.06.1976 00:00:00;   269
16.06.1976 00:00:00;   268
17.06.1976 00:00:00;   269
18.06.1976 00:00:00;   269
19.06.1976 00:00:00;   266
20.06.1976 00:00:00;   251
21.06.1976 00:00:00;   264
22.06.1976 00:00:00;   264
23.06.1976 00:00:00;   271
24.06.1976 00:00:00;   260
25.06.1976 00:00:00;   263
26.06.1976 00:00:00;   248
27.06.1976 00:00:00;   239
28.06.1976 00:00:00;   261
29.06.1976 00:00:00;   270
30.06.1976 00:00:00;   271
01.07.1976 00:00:00;   264
02.07.1976 00:00:00;   253
03.07.1976 00:00:00;   246
04.07.1976 00:00:00;   228
05.07.1976 00:00:00;   260
06.07.1976 00:00:00;   262
07.07.1976 00:00:00;   270
08.07.1976 00:00:00;   248
09.07.1976 00:00:00;   254
10.07.1976 00:00:00;   235
11.07.1976 00:00:00;   213
12.07.1976 00:00:00;   218
13.07.1976 00:00:00;   247
14.07.1976 00:00:00;   228
15.07.1976 00:00:00;   223
16.07.1976 00:00:00;   235
17.07.1976 00:00:00;   247
18.07.1976 00:00:00;   229
19.07.1976 00:00:00;   225
20.07.1976 00:00:00;   243
21.07.1976 00:00:00;   225
22.07.1976 00:00:00;   231
23.07.1976 00:00:00;   233
24.07.1976 00:00:00;   228
25.07.1976 00:00:00;   224
26.07.1976 00:00:00;   241
27.07.1976 00:00:00;   271
28.07.1976 00:00:00;   255
29.07.1976 00:00:00;   251
30.07.1976 00:00:00;   248
31.07.1976 00:00:00;   225
01.08.1976 00:00:00;   227
02.08.1976 00:00:00;   243
03.08.1976 00:00:00;   259
04.08.1976 00:00:00;   252
05.08.1976 00:00:00;   259
06.08.1976 00:00:00;   245
07.08.1976 00:00:00;   228
08.08.1976 00:00:00;   218
09.08.1976 00:00:00;   232
10.08.1976 00:00:00;   243
