Messstelle:                ;Unterweißenbach
HZB-Nummer:                ;206003
HD-Nummer:                 ;9450
DBMS-Nummer:               ;4001142
Gewässer:                  ;Kleine Naarn
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;36,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1971              ;00610,00
   15.04.2004              ;00612,06
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;557162,00 - 367531,00
   27.03.2020              ;557152,00 - 367554,26
Exportzeitreihe:           ;(4001142,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1976 00:30:00;   126
02.01.1976 00:00:00;   134
03.01.1976 00:00:00;   141
04.01.1976 00:00:00;   134
05.01.1976 00:00:00;   131
06.01.1976 00:00:00;   131
07.01.1976 00:00:00;   131
08.01.1976 00:00:00;   130
09.01.1976 00:00:00;   130
10.01.1976 00:00:00;   130
11.01.1976 00:00:00;   136
12.01.1976 00:00:00;   157
13.01.1976 00:00:00;   149
14.01.1976 00:00:00;   151
15.01.1976 00:00:00;   148
16.01.1976 00:00:00;   143
17.01.1976 00:00:00;   141
18.01.1976 00:00:00;   140
19.01.1976 00:00:00;   139
20.01.1976 00:00:00;   138
21.01.1976 00:00:00;   140
22.01.1976 00:00:00;   139
23.01.1976 00:00:00;   146
24.01.1976 00:00:00;   145
25.01.1976 00:00:00;   141
26.01.1976 00:00:00;   139
27.01.1976 00:00:00;   138
28.01.1976 00:00:00;   137
29.01.1976 00:00:00;   136
30.01.1976 00:00:00;   136
31.01.1976 00:00:00;   135
01.02.1976 00:00:00;   135
02.02.1976 00:00:00;   135
03.02.1976 00:00:00;   135
04.02.1976 00:00:00;   134
05.02.1976 00:00:00;   133
06.02.1976 00:00:00;   133
07.02.1976 00:00:00;   133
08.02.1976 00:00:00;   133
09.02.1976 00:00:00;   132
10.02.1976 00:00:00;   132
11.02.1976 00:00:00;   132
12.02.1976 00:00:00;   131
13.02.1976 00:00:00;   132
14.02.1976 00:00:00;   131
15.02.1976 00:00:00;   131
16.02.1976 00:00:00;   131
17.02.1976 00:00:00;   130
18.02.1976 00:00:00;   131
19.02.1976 00:00:00;   130
20.02.1976 00:00:00;   130
21.02.1976 00:00:00;   130
22.02.1976 00:00:00;   129
23.02.1976 00:00:00;   130
24.02.1976 00:00:00;   129
25.02.1976 00:00:00;   130
26.02.1976 00:00:00;   131
27.02.1976 00:00:00;   133
28.02.1976 00:00:00;   133
29.02.1976 00:00:00;   136
01.03.1976 00:00:00;   140
02.03.1976 00:00:00;   138
03.03.1976 00:00:00;   135
04.03.1976 00:00:00;   135
05.03.1976 00:00:00;   134
06.03.1976 00:00:00;   133
07.03.1976 00:00:00;   132
08.03.1976 00:00:00;   132
09.03.1976 00:00:00;   131
10.03.1976 00:00:00;   131
11.03.1976 00:00:00;   130
12.03.1976 00:00:00;   130
