Messstelle:                ;Unterburg-See
HZB-Nummer:                ;213348
HD-Nummer:                 ;00802
DBMS-Nummer:               ;2001088
Gewässer:                  ;Klopeiner See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;4,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1921              ;00446,58
   25.09.1925              ;00445,58
   01.01.1975              ;00445,17
   22.09.2009              ;00445,17
   29.11.2019              ;00445,14
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1993              ;546756,00 - 163586,00
Exportzeitreihe:           ;(2001088,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1993 02:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1993 02:00:00;    60
02.01.1993 00:00:00;    59
03.01.1993 00:00:00;    59
04.01.1993 00:00:00;    58
05.01.1993 00:00:00;    58
06.01.1993 00:00:00;    57
07.01.1993 00:00:00;    57
08.01.1993 00:00:00;    56
09.01.1993 00:00:00;    56
10.01.1993 00:00:00;    56
11.01.1993 00:00:00;    55
12.01.1993 00:00:00;    55
13.01.1993 00:00:00;    55
14.01.1993 00:00:00;    55
15.01.1993 00:00:00;    55
16.01.1993 00:00:00;    54
17.01.1993 00:00:00;    54
18.01.1993 00:00:00;    54
19.01.1993 00:00:00;    54
20.01.1993 00:00:00;    54
21.01.1993 00:00:00;    53
22.01.1993 00:00:00;    53
23.01.1993 00:00:00;    53
24.01.1993 00:00:00;    53
25.01.1993 00:00:00;    52
26.01.1993 00:00:00;    52
27.01.1993 00:00:00;    52
28.01.1993 00:00:00;    52
29.01.1993 00:00:00;    51
30.01.1993 00:00:00;    51
31.01.1993 00:00:00;    51
01.02.1993 00:00:00;    51
02.02.1993 00:00:00;    50
03.02.1993 00:00:00;    50
04.02.1993 00:00:00;    50
05.02.1993 00:00:00;    50
06.02.1993 00:00:00;    50
07.02.1993 00:00:00;    49
08.02.1993 00:00:00;    49
09.02.1993 00:00:00;    49
10.02.1993 00:00:00;    49
11.02.1993 00:00:00;    49
12.02.1993 00:00:00;    48
13.02.1993 00:00:00;    48
14.02.1993 00:00:00;    48
15.02.1993 00:00:00;    48
16.02.1993 00:00:00;    48
17.02.1993 00:00:00;    47
18.02.1993 00:00:00;    47
19.02.1993 00:00:00;    47
20.02.1993 00:00:00;    47
21.02.1993 00:00:00;    47
